 ID Ιατρού |   Επώνυμο Ιατρού   | Όνομα Ιατρού | Επίπεδο Ιεραρχίας | Κωδικός Επόπτη |   Επώνυμο Επόπτη   | Όνομα Επόπτη | Βαθμίδα Επόπτη 
-----------+--------------------+--------------+-------------------+----------------+--------------------+--------------+----------------
        91 | Καρανασίου         | Πολυκράτης   |                 1 |             88 | Σαλταούρας         | Θουκυδίδης   | Διευθυντής
        92 | Γραμμένου          | Τσαμπίκος    |                 1 |             65 | Αναστασόπουλος     | Πέτρα        | Διευθυντής
        93 | Πολυχρονίδης       | Εύκλεια      |                 1 |             18 | Προύβα             | Λουκία       | Διευθυντής
        94 | Παπαευαγγέλου      | Ευτύχιος     |                 1 |             73 | Κωνσταντακόπουλος  | Σάββας       | Διευθυντής
        95 | Ρούσσου            | Οδυσσεύς     |                 1 |             24 | Μπακοστεργίου      | Μαλβίνα      | Διευθυντής
        96 | Κορμπόπουλος       | Δάφνη        |                 1 |             44 | Χατζαντώνης        | Θεολογία     | Διευθυντής
        97 | Πολυζωάκης         | Θεοφίλη      |                 1 |             76 | Γιαννούκος         | Κατερίνα     | Διευθυντής
        98 | Τυράλης            | Μαυροειδής   |                 1 |             38 | Μαμαλά             | Γαβριήλ      | Διευθυντής
        99 | Μπότζα             | Θαλής        |                 1 |             14 | Κατσανίκου         | Πολύβια      | Διευθυντής
       100 | Παπαγεωργίου       | Χρήστος      |                 1 |             23 | Τζιώτζης           | Γιασεμή      | Διευθυντής
       101 | Χαρτερός           | Θάλεια       |                 1 |              9 | Σεμπέπου           | Ξανθίππη     | Διευθυντής
       102 | Δαμήλου            | Καλυψώ       |                 1 |              1 | Τουρναβίτης        | Ανδρονίκη    | Διευθυντής
       103 | Φωτόπουλος         | Πραξιτέλης   |                 1 |             49 | Ρήγας              | Ευλαμπία     | Διευθυντής
       104 | Ξανθοπούλου        | Εμμανουήλ    |                 1 |             43 | Κιορίδου           | Ροδαμάνθη    | Διευθυντής
       105 | Πάντζιου           | Βενιζέλος    |                 1 |             25 | Βούκας             | Ζαχαρένια    | Διευθυντής
       106 | Πιτσάκης           | Αλκιβιάδης   |                 1 |             35 | Τσιρώνης           | Αντιγόνη     | Διευθυντής
       107 | Μαυρομανωλάκης     | Θεόδωρος     |                 1 |             47 | Μηλιώρης           | Ζαχαρένια    | Διευθυντής
       108 | Τραγούστη          | Θεοδόσιος    |                 1 |             20 | Δρυμαλίτου         | Ζαχαρένια    | Διευθυντής
       109 | Κουρσάρης          | Φρειδερίκος  |                 1 |             23 | Τζιώτζης           | Γιασεμή      | Διευθυντής
       110 | Γκαλίου            | Όλγα         |                 1 |             47 | Μηλιώρης           | Ζαχαρένια    | Διευθυντής
       111 | Γιακαμόζη          | Λασκαρίνα    |                 1 |             45 | Σιμητοπούλου       | Γερασιμούλα  | Διευθυντής
       112 | Αλυσανδράτου       | Θεοφίλη      |                 1 |              6 | Καπούνης           | Ηρόδοτος     | Διευθυντής
       113 | Φανουργάκης        | Παρθένα      |                 1 |             29 | Σταθόπουλος        | Παρασκευάς   | Διευθυντής
       114 | Κουρσουμίδης       | Άνθιμος      |                 1 |             82 | Γαλατούλας         | Χρήστος      | Διευθυντής
       115 | Γιατρομανωλάκης    | Αυγή         |                 1 |             87 | Τσούμος            | Βελισσάριος  | Διευθυντής
       116 | Μηνά               | Αλέξανδρος   |                 1 |             21 | Γούλα              | Αγάπη        | Διευθυντής
       117 | Βαλαβάνης          | Μαγδαληνός   |                 1 |             32 | Γεωργή             | Λέανδρος     | Διευθυντής
       118 | Μανιάτη            | Ευπραξία     |                 1 |             27 | Τολούδης           | Ανδρονίκη    | Διευθυντής
       119 | Παλιούρα           | Σμαράγδα     |                 1 |             37 | Ταφραλή            | Λεμονής      | Διευθυντής
       120 | Ανδρουλάκης        | Ίκαρος       |                 1 |             88 | Σαλταούρας         | Θουκυδίδης   | Διευθυντής
       121 | Παπαθανασίου       | Θηρεσία      |                 1 |             19 | Χατζηγεωργίου      | Χρυσόστομη   | Διευθυντής
       122 | Καραγρηγορίου      | Ραχήλ        |                 1 |             11 | Γεωργιάδου         | Μαριγώ       | Διευθυντής
       123 | Μαντζουράνης       | Μένανδρος    |                 1 |             22 | Στοφοριάδης        | Σόλων        | Διευθυντής
       124 | Δαματοπούλου       | Χριστόφορος  |                 1 |             32 | Γεωργή             | Λέανδρος     | Διευθυντής
       125 | Σταμέλος           | Κρυστάλλης   |                 1 |             53 | Ζηρός              | Αντίπατρος   | Διευθυντής
       126 | Κωτούλα            | Νέαρχος      |                 1 |             25 | Βούκας             | Ζαχαρένια    | Διευθυντής
       127 | Κακοτρίχη          | Καλή         |                 1 |             32 | Γεωργή             | Λέανδρος     | Διευθυντής
       128 | Τακαντζάς          | Κάρολος      |                 1 |             56 | Παπαδάκης          | Γιάννης      | Διευθυντής
       129 | Τσιωλξ             | Ηλίας        |                 1 |             65 | Αναστασόπουλος     | Πέτρα        | Διευθυντής
       130 | Κακαβός            | Κωστούλα     |                 1 |             89 | Σπανοχριστοδούλου  | Ζηναϊς       | Διευθυντής
       131 | Μαρακάς            | Λουκάς       |                 1 |             56 | Παπαδάκης          | Γιάννης      | Διευθυντής
       132 | Παπαστεργίου       | Χρυσαυγή     |                 1 |             83 | Καλαθά             | Ερρίκος      | Διευθυντής
       133 | Καλαθά             | Κλημεντίνη   |                 1 |              3 | Τριφτανίδου        | Γαρυφαλλιά   | Διευθυντής
       134 | Κλήμης             | Πιερρίνα     |                 1 |             58 | Περουλάκη          | Αγαθάγγελος  | Διευθυντής
       135 | Μαυρομανωλάκης     | Γιάννης      |                 1 |             80 | Μαντά              | Ευτυχία      | Διευθυντής
       136 | Πιάγκος            | Κυριάκος     |                 1 |             71 | Πάντζιου           | Πανδώρα      | Διευθυντής
       137 | Χαλκίδου           | Φρύνη        |                 1 |             14 | Κατσανίκου         | Πολύβια      | Διευθυντής
       138 | Γιασημάκης         | Δαμασκηνή    |                 1 |             11 | Γεωργιάδου         | Μαριγώ       | Διευθυντής
       139 | Οικονόμου          | Χριστιάν     |                 1 |             46 | Χατζηβλασίου       | Υβόννη       | Διευθυντής
       140 | Κωσταλής           | Κηρύκος      |                 1 |             87 | Τσούμος            | Βελισσάριος  | Διευθυντής
       141 | Κουτσογιάννόπουλος | Αννίκα       |                 1 |             50 | Τόμπρη             | Κυπριανή     | Διευθυντής
       142 | Νασίκας            | Λεωνίδας     |                 1 |             86 | Χατζελλής          | Ελισάβετ     | Διευθυντής
       143 | Γεωργαρά           | Ευαγγελία    |                 1 |              9 | Σεμπέπου           | Ξανθίππη     | Διευθυντής
       144 | Φουτσιτζής         | Καλομοίρα    |                 1 |             83 | Καλαθά             | Ερρίκος      | Διευθυντής
       145 | Κουτχιάς           | Αγγελική     |                 1 |             53 | Ζηρός              | Αντίπατρος   | Διευθυντής
       146 | Πουρνάρα           | Μερκούριος   |                 1 |             42 | Μαστρογιώργης      | Αμβροσία     | Διευθυντής
       147 | Νατσουλή           | Εμμανουήλ    |                 1 |             16 | Χρονόπουλος        | Γαλάτεια     | Διευθυντής
       148 | Τσαμοπούλου        | Κώστας       |                 1 |             46 | Χατζηβλασίου       | Υβόννη       | Διευθυντής
       149 | Κατσίφος           | Τριαντάφυλλη |                 1 |             67 | Μανιώτης           | Φιλιώ        | Διευθυντής
       150 | Μιχελή             | Αυγέρης      |                 1 |             82 | Γαλατούλας         | Χρήστος      | Διευθυντής
       151 | Αναστόπουλος       | Παράσχος     |                 1 |             57 | Βουτσάς            | Μεταξία      | Διευθυντής
       152 | Μπακλάβας          | Ρεγγίνα      |                 1 |             14 | Κατσανίκου         | Πολύβια      | Διευθυντής
       153 | Γαρυφαλίδης        | Ανάργυρος    |                 1 |             77 | Καρτάς             | Άλκηστις     | Διευθυντής
       154 | Μελιτσόπουλος      | Πασχάλης     |                 1 |             56 | Παπαδάκης          | Γιάννης      | Διευθυντής
       155 | Καρκαλέτση         | Ξανθίππη     |                 1 |             82 | Γαλατούλας         | Χρήστος      | Διευθυντής
       156 | Σφύρλας            | Ευρυδίκη     |                 1 |             61 | Γιαπατζής          | Φλωρεντία    | Διευθυντής
       157 | Χριστάρας          | Δωρόθεος     |                 1 |             40 | Μασαούτη           | Στυλιανή     | Διευθυντής
       158 | Δανιηλίδης         | Κασσιανή     |                 1 |             45 | Σιμητοπούλου       | Γερασιμούλα  | Διευθυντής
