 ID Ιατρού |    Όνομα     |     Επώνυμο     | Ειδικότητα | Εφημερία Φέτος | Σύνολο Επεμβάσεων 
-----------+--------------+-----------------+------------+----------------+-------------------
        22 | Σόλων        | Στοφοριάδης     | Χειρουργός | ΝΑΙ            |                 5
        30 | Πολυκράτης   | Σκαρλάτος       | Χειρουργός | ΝΑΙ            |                 8
        34 | Χαραλαμπία   | Καραγρηγορίου   | Χειρουργός | ΝΑΙ            |                 4
        47 | Ζαχαρένια    | Μηλιώρης        | Χειρουργός | ΝΑΙ            |                10
        51 | Νικητία      | Ανδρουλιδάκης   | Χειρουργός | ΝΑΙ            |                 4
       114 | Άνθιμος      | Κουρσουμίδης    | Χειρουργός | ΝΑΙ            |                 8
       123 | Μένανδρος    | Μαντζουράνης    | Χειρουργός | ΝΑΙ            |                 7
       129 | Ηλίας        | Τσιωλξ          | Χειρουργός | ΝΑΙ            |                 5
       149 | Τριαντάφυλλη | Κατσίφος        | Χειρουργός | ΝΑΙ            |                 9
       192 | Πανταζής     | Μιχελή          | Χειρουργός | ΝΑΙ            |                 6
       212 | Μαύρα        | Ιωσηφίδης       | Χειρουργός | ΝΑΙ            |                 4
       214 | Ιάκωβος      | Σουλιντζής      | Χειρουργός | ΝΑΙ            |                13
       222 | Χρυσάνθη     | Παπατρέχας      | Χειρουργός | ΝΑΙ            |                 7
       239 | Αδαμάντιος   | Κανταρελή       | Χειρουργός | ΝΑΙ            |                 6
       258 | Πασχάλης     | Ιωακείμ         | Χειρουργός | ΝΑΙ            |                13
       261 | Μαύρος       | Μπαγανάς        | Χειρουργός | ΝΑΙ            |                 4
       292 | Ειρήνη       | Νασίκας         | Χειρουργός | ΝΑΙ            |                 4
       305 | Κρινιώ       | Κουλαουσάρη     | Χειρουργός | ΝΑΙ            |                 8
       343 | Καλλιρόη     | Μακρής          | Χειρουργός | ΝΑΙ            |                 5
       354 | Ευδοξία      | Νέλος           | Χειρουργός | ΝΑΙ            |                 4
       374 | Θέμις        | Βούλγαρης       | Χειρουργός | ΝΑΙ            |                11
       423 | Εύα          | Αφρουδάκης      | Χειρουργός | ΝΑΙ            |                 9
       433 | Παρθένα      | Γκάγκα          | Χειρουργός | ΝΑΙ            |                16
       445 | Ευρυδίκη     | Μηνά            | Χειρουργός | ΝΑΙ            |                 8
       446 | Μιχαήλ       | Κετεσίδου       | Χειρουργός | ΝΑΙ            |                 4
       460 | Θεολόγος     | Σαρρή           | Χειρουργός | ΝΑΙ            |                11
       461 | Ευρύκλεια    | Χριστάρας       | Χειρουργός | ΝΑΙ            |                12
       467 | Φιλομήλα     | Φιλιάγκου       | Χειρουργός | ΝΑΙ            |                 2
       484 | Αρτεμισία    | Σταύρου         | Χειρουργός | ΝΑΙ            |                 7
       504 | Δαμιανός     | Καρανασίου      | Χειρουργός | ΝΑΙ            |                 6
       515 | Τερψιχόρη    | Τζιώτζης        | Χειρουργός | ΝΑΙ            |                11
       532 | Μαυρίκιος    | Σκούμπρου       | Χειρουργός | ΝΑΙ            |                 7
       535 | Δημοσθένης   | Αναστασάκης     | Χειρουργός | ΝΑΙ            |                11
       564 | Ραλλία       | Καφφέ           | Χειρουργός | ΝΑΙ            |                 9
       566 | Ρούσα        | Τσίμη           | Χειρουργός | ΝΑΙ            |                12
       572 | Εύα          | Μαυρουδής       | Χειρουργός | ΝΑΙ            |                 8
       583 | Ευρυδίκη     | Τσικνή          | Χειρουργός | ΝΑΙ            |                 8
       598 | Δημήτριος    | Μαστρογιαννίδου | Χειρουργός | ΝΑΙ            |                 9
       600 | Πέτρος       | Κωτσικόρης      | Χειρουργός | ΝΑΙ            |                 5
(39 rows)

