 ID Προσωπικού |     Όνομα      |      Επώνυμο       |   Τύπος Προσωπικού   
---------------+----------------+--------------------+----------------------
           447 | Ανδρονίκη      | Έψιμος             | Ιατρός
           364 | Αρχέλαος       | Αβαγιανός          | Ιατρός
           329 | Κλεομένης      | Αβαγιανός          | Ιατρός
            85 | Περιστέρα      | Αβραμιώτης         | Ιατρός
           585 | Ινώ            | Αγγελάκος          | Ιατρός
           254 | Ιερεμίας       | Αγγελής            | Ιατρός
            41 | Αντιγόνη       | Αγγελίδης          | Ιατρός
             7 | Κυριάκος       | Αγγελίδου          | Ιατρός
           322 | Τιμόθεος       | Αγγελουσοπούλου    | Ιατρός
           392 | Ιακωβίνα       | Ακαλίδης           | Ιατρός
           167 | Νικολέτα       | Ακαλίδης           | Ιατρός
           323 | Θέτις          | Αλεξανδρόπουλος    | Ιατρός
           112 | Θεοφίλη        | Αλυσανδράτου       | Ιατρός
           272 | Μίνωας         | Αμπλιάνιτης        | Ιατρός
            54 | Στέργιος       | Αμπλιάνιτης        | Ιατρός
           163 | Μεταξία        | Ανανιάδου          | Ιατρός
           554 | Ρεβέκα         | Αναστασάκη         | Ιατρός
           535 | Δημοσθένης     | Αναστασάκης        | Ιατρός
            65 | Πέτρα          | Αναστασόπουλος     | Ιατρός
           230 | Δράκων         | Αναστασόπουλος     | Ιατρός
           462 | Θεόκλεια       | Αναστασόπουλος     | Ιατρός
           151 | Παράσχος       | Αναστόπουλος       | Ιατρός
           247 | Μαλβίνα        | Ανδρεανίδης        | Ιατρός
           381 | Μάριος         | Ανδρικόπουλος      | Ιατρός
           482 | Αγαθοκλής      | Ανδρουλάκης        | Ιατρός
           120 | Ίκαρος         | Ανδρουλάκης        | Ιατρός
            51 | Νικητία        | Ανδρουλιδάκης      | Ιατρός
           262 | Αταλάντη       | Αντωνέας           | Ιατρός
           184 | Βαλέριος       | Αντωνόπουλος       | Ιατρός
           375 | Ιππόλυτος      | Αξαόπουλος         | Ιατρός
           207 | Ζηναϊς         | Αποστολίδης        | Ιατρός
           173 | Ευδοξία        | Αποστολίδης        | Ιατρός
           415 | Περικλής       | Αποστολίδου        | Ιατρός
           182 | Θεοδόσιος      | Αργυρίου           | Ιατρός
           160 | Τερψιχόρη      | Αργυρόπουλος       | Ιατρός
           183 | Φιλοθέη        | Αρχαυλής           | Ιατρός
           428 | Διαμαντής      | Ασλανίδου          | Ιατρός
           423 | Εύα            | Αφρουδάκης         | Ιατρός
           478 | Ηράκλεια       | Βάρσος             | Ιατρός
           279 | Λαζαρία        | Βάρσος             | Ιατρός
           117 | Μαγδαληνός     | Βαλαβάνης          | Ιατρός
           552 | Γαρυφαλλιά     | Βαλαβάνης          | Ιατρός
           394 | Αναγνώστης     | Βαλασίδης          | Ιατρός
           371 | Βικτωρία       | Βαλιάκα            | Ιατρός
           557 | Χρίστος        | Βαλσαμίδου         | Ιατρός
           571 | Θεοτόκης       | Βαλτάς             | Ιατρός
            31 | Ροδόκλεια      | Βαλτάς             | Ιατρός
           476 | Γερασιμούλα    | Βαμβουκάκη         | Ιατρός
           298 | Γαβριέλλα      | Βασιλειάδη         | Ιατρός
           560 | Μάνθα          | Βαφειάδου          | Ιατρός
           291 | Χρυσή          | Βερβίτη            | Ιατρός
           451 | Δαβιδούλα      | Βιλδός             | Ιατρός
           412 | Λάσκαρης       | Βλάσση             | Ιατρός
           263 | Ηλιάνα         | Βλάσση             | Ιατρός
           391 | Πέτρος         | Βορλόκας           | Ιατρός
            68 | Απόλλων        | Βουλγαρίδου        | Ιατρός
            57 | Μεταξία        | Βουτσάς            | Ιατρός
            25 | Ζαχαρένια      | Βούκας             | Ιατρός
           374 | Θέμις          | Βούλγαρης          | Ιατρός
            60 | Ερρίκος        | Βούλκος            | Ιατρός
           216 | Σταμάτιος      | Βραδή              | Ιατρός
           516 | Θέμις          | Βραδή              | Ιατρός
           395 | Σταματίνα      | Βρακά              | Ιατρός
           316 | Ντανιέλα       | Βυζιηνού           | Ιατρός
           159 | Αδάμ           | Γαβριδάκης         | Ιατρός
            82 | Χρήστος        | Γαλατούλας         | Ιατρός
           153 | Ανάργυρος      | Γαρυφαλίδης        | Ιατρός
           546 | Αλκιβιάδης     | Γενετζάκης         | Ιατρός
            32 | Λέανδρος       | Γεωργή             | Ιατρός
           143 | Ευαγγελία      | Γεωργαρά           | Ιατρός
            11 | Μαριγώ         | Γεωργιάδου         | Ιατρός
           300 | Δημήτρης       | Γεωργιάδου         | Ιατρός
           563 | Ιππολύτη       | Γεωργούδης         | Ιατρός
           176 | Νίκος          | Γεωργούλα          | Ιατρός
           387 | Ιορδανία       | Γεωργούλα          | Ιατρός
           340 | Ιωνάς          | Γεωργούλα          | Ιατρός
           454 | Ανδρομέδα      | Γιακαμόζη          | Ιατρός
           187 | Αγγελική       | Γιαννέλος          | Ιατρός
            76 | Κατερίνα       | Γιαννούκος         | Ιατρός
           383 | Αλκιβιάδης     | Γιαννούκος         | Ιατρός
            61 | Φλωρεντία      | Γιαπατζής          | Ιατρός
           138 | Δαμασκηνή      | Γιασημάκης         | Ιατρός
           206 | Αθηνόδωρος     | Γιασημάκης         | Ιατρός
           115 | Αυγή           | Γιατρομανωλάκης    | Ιατρός
           473 | Θάλεια         | Γκάβρου            | Ιατρός
           433 | Παρθένα        | Γκάγκα             | Ιατρός
           377 | Βασίλειος      | Γκάγκας            | Ιατρός
           110 | Όλγα           | Γκαλίου            | Ιατρός
            63 | Αλεξάνδρα      | Γούλα              | Ιατρός
            21 | Αγάπη          | Γούλα              | Ιατρός
           193 | Φώτιος         | Γούλα              | Ιατρός
           362 | Ταξιαρχία      | Γρίβας             | Ιατρός
            92 | Τσαμπίκος      | Γραμμένου          | Ιατρός
           319 | Σπυράννα       | Γραμματικόπουλος   | Ιατρός
           524 | Ροδάνθη        | Γρατσιάς           | Ιατρός
           408 | Σέργιος        | Γρετός             | Ιατρός
           265 | Παναγία        | Γρηγορόπουλος      | Ιατρός
           581 | Χρυσαυγή       | Δάρας              | Ιατρός
           489 | Βαρδής         | Δάφνη              | Ιατρός
           500 | Φιλιώ          | Δαΐκου             | Ιατρός
           235 | Ντανιέλα       | Δαγλή              | Ιατρός
           102 | Καλυψώ         | Δαμήλου            | Ιατρός
           124 | Χριστόφορος    | Δαματοπούλου       | Ιατρός
           158 | Κασσιανή       | Δανιηλίδης         | Ιατρός
           527 | Τσαμπίκα       | Δαρδιώτη           | Ιατρός
           325 | Σπήλιος        | Δαυίδ              | Ιατρός
           344 | Ξανθίππη       | Δαυίδ              | Ιατρός
           490 | Νικόδημος      | Δεδούκου           | Ιατρός
           486 | Μαυρίκιος      | Δερλώπα            | Ιατρός
           175 | Στεφανία       | Δημητρίου          | Ιατρός
           348 | Αδάμ           | Διαμαντοπούλου     | Ιατρός
            75 | Διονυσία       | Διοπούλου          | Ιατρός
           448 | Ταξιάρχης      | Δουβρόπουλος       | Ιατρός
           474 | Ιερόθεος       | Δουβρόπουλος       | Ιατρός
           194 | Αντιγόνη       | Δουκατζής          | Ιατρός
             5 | Προδρομία      | Δουλάμης           | Ιατρός
           458 | Ρουμπίνη       | Δουλουφάκη         | Ιατρός
           596 | Αρτέμης        | Δούνης             | Ιατρός
           409 | Σιρανούς       | Δρακάκη            | Ιατρός
           580 | Τσαμπίκα       | Δρακάκης           | Ιατρός
           548 | Λεμονιά        | Δρακουλή           | Ιατρός
           220 | Συμεώνη        | Δραμουντάνη        | Ιατρός
            20 | Ζαχαρένια      | Δρυμαλίτου         | Ιατρός
           401 | Αφροδίτη       | Δόβας              | Ιατρός
           361 | Αυγέρης        | Δόσης              | Ιατρός
           464 | Αμαλία         | Ελευθερίου         | Ιατρός
           384 | Αρχιμήδης      | Ελευθερίου         | Ιατρός
           590 | Ίρις           | Ευαγγελάκη         | Ιατρός
            28 | Ιάσονας        | Ευαγγελάτος        | Ιατρός
           455 | Δωρόθεος       | Ζαφείρη            | Ιατρός
           244 | Νεοκλής        | Ζενεμπίσης         | Ιατρός
            53 | Αντίπατρος     | Ζηρός              | Ιατρός
           370 | Ηλίας          | Ζηρός              | Ιατρός
           203 | Θεοπίστη       | Ζιώγος             | Ιατρός
           345 | Διαλεκτή       | Ζουλούμης          | Ιατρός
           498 | Ερωτόκριτος    | Ζτούκος            | Ιατρός
           218 | Τατιάνα        | Ζώη                | Ιατρός
           289 | Ιάσων          | Θασίτου            | Ιατρός
           314 | Φωτεινή        | Θεοδοσίου          | Ιατρός
           283 | Αγάπιος        | Θεολόγος           | Ιατρός
           480 | Πολύδωρα       | Θεοχάρης           | Ιατρός
           363 | Μακρίνα        | Θεοχάρης           | Ιατρός
            13 | Μαγδαληνός     | Θεοχάρης           | Ιατρός
           258 | Πασχάλης       | Ιωακείμ            | Ιατρός
           346 | Χαρίκλεια      | Ιωσηφίδης          | Ιατρός
           212 | Μαύρα          | Ιωσηφίδης          | Ιατρός
           304 | Δρόσος         | Ιωσηφίδου          | Ιατρός
           367 | Ρεβέκκα        | Κίσσας             | Ιατρός
           330 | Κασσάνδρα      | Κίσσας             | Ιατρός
           497 | Ελένη          | Καβούρης           | Ιατρός
           130 | Κωστούλα       | Κακαβός            | Ιατρός
           127 | Καλή           | Κακοτρίχη          | Ιατρός
           309 | Παυσανίας      | Κακοτρίχη          | Ιατρός
            83 | Ερρίκος        | Καλαθά             | Ιατρός
           133 | Κλημεντίνη     | Καλαθά             | Ιατρός
           465 | Μελπομένη      | Καλαμπαλίκης       | Ιατρός
           251 | Ερατώ          | Καλαργυρός         | Ιατρός
             2 | Μελέτιος       | Καλαργυρός         | Ιατρός
           494 | Αριστομένης    | Καλαϊτζοπούλου     | Ιατρός
           224 | Λήδα           | Κανελλόπουλος      | Ιατρός
           239 | Αδαμάντιος     | Κανταρελή          | Ιατρός
             6 | Ηρόδοτος       | Καπούνης           | Ιατρός
           511 | Θεόφραστος     | Καραΐσκος          | Ιατρός
           592 | Βάιος          | Καραγρηγορίου      | Ιατρός
            34 | Χαραλαμπία     | Καραγρηγορίου      | Ιατρός
           122 | Ραχήλ          | Καραγρηγορίου      | Ιατρός
           271 | Μελένια        | Καραθανάση         | Ιατρός
           541 | Αλέξανδρος     | Καρακαστανιάς      | Ιατρός
           551 | Ευριπίδης      | Καραμανλή          | Ιατρός
            91 | Πολυκράτης     | Καρανασίου         | Ιατρός
           504 | Δαμιανός       | Καρανασίου         | Ιατρός
           443 | Θεμιστοκλής    | Καραντάνα          | Ιατρός
           221 | Θαλασσινή      | Καραντζόπουλος     | Ιατρός
           533 | Στεργιανή      | Καρατάσου          | Ιατρός
           327 | Θεοχαρούλα     | Καρατζίκος         | Ιατρός
           356 | Ζαχαρούλα      | Καρβέλη            | Ιατρός
           211 | Ευσεβεία       | Καρβέλη            | Ιατρός
           544 | Θεοπίστη       | Καργάκου           | Ιατρός
           155 | Ξανθίππη       | Καρκαλέτση         | Ιατρός
           231 | Κανέλλα        | Καρκαλέτση         | Ιατρός
           506 | Ανδριανή       | Καρούντζος         | Ιατρός
           485 | Ελένη          | Καρούσος           | Ιατρός
            77 | Άλκηστις       | Καρτάς             | Ιατρός
           522 | Λογοθέτης      | Κασσωτάκη          | Ιατρός
           421 | Νέαρχος        | Καστάνης           | Ιατρός
           248 | Νεκτάριος      | Κατάκης            | Ιατρός
           294 | Πύρρος         | Κατάκης            | Ιατρός
           208 | Στέλλιος       | Κατιρτζής          | Ιατρός
