    Όνομα     |      Επώνυμο      | Έτος | Συνολικές Ημέρες 
--------------+-------------------+------+------------------
 Κίμων        | Αντωνέας          | 2025 |               47
 Ηλίας        | Παπουδής          | 2025 |               47
 Βύρων        | Καραδήμος         | 2025 |               46
 Παντελεήμων  | Μακρυκώστας       | 2025 |               46
 Ιγνατία      | Γρηγοριάδου       | 2025 |               45
 Έκτορας      | Κατσαβός          | 2025 |               45
 Αμβροσία     | Κουτσουνάκη       | 2025 |               43
 Στεφανία     | Πετράκη           | 2025 |               43
 Χαρίκλεια    | Πάνου             | 2025 |               38
 Αναστασία    | Σταματούκου       | 2025 |               38
 Σώζων        | Τσιγαρίδας        | 2025 |               37
 Θεοδούλη     | Χαλβατζή          | 2025 |               37
 Περικλεία    | Αγραφιώτη         | 2025 |               36
 Μαντώ        | Αναστασίου        | 2025 |               36
 Πολυχρονία   | Σιούτα            | 2025 |               36
 Σπυρίδων     | Τριαντακωνσταντής | 2025 |               36
 Παγώνα       | Δαμήλου           | 2025 |               35
 Αγάθη        | Κουτσουρέλη       | 2025 |               35
 Ευγενία      | Σταθά             | 2025 |               35
 Χρυσοβαλάντω | Τσακίρη           | 2025 |               35
 Έλλη         | Μέλανι            | 2025 |               34
 Μαλαματένια  | Τρεντσίου         | 2025 |               34
 Χρυσόστομος  | Τσατσάνης         | 2025 |               34
 Λυγερή       | Γεωργούλα         | 2025 |               33
 Αργύριος     | Ζαραφέτας         | 2025 |               33
 Φραγκίσκος   | Κακαβός           | 2025 |               33
 Αιμιλιανός   | Μίχος             | 2025 |               33
 Νίκανδρος    | Μαυρογονάτος      | 2025 |               33
 Θέκλα        | Δαγλή             | 2025 |               31
 Ναταλία      | Καπανταϊδάκη      | 2025 |               31
 Κώστας       | Κυπριώτης         | 2025 |               31
 Κύρος        | Κωσταλής          | 2025 |               31
 Κοκκώνα      | Αρχάκη            | 2025 |               30
 Βασίλης      | Γιαννούκος        | 2025 |               30
 Βαγιανή      | Μαγκανάρη         | 2025 |               30
 Αυγέρης      | Μποφός            | 2025 |               30
 Ισίδωρος     | Σοφιανός          | 2025 |               30
 Παναγιώτης   | Χριστακόπουλος    | 2025 |               30
 Αθανασία     | Αργυράκη          | 2025 |               29
 Ίρις         | Δραμουντάνη       | 2025 |               29
 Θεολόγος     | Κίσσας            | 2025 |               29
 Σπάρτη       | Καραγρηγορίου     | 2025 |               29
 Αγάπιος      | Λεντζίου          | 2025 |               29
 Μαγδαληνή    | Μάρα              | 2025 |               29
 Ξανθή        | Ρόγγα             | 2025 |               29
 Ιωακείμ      | Φειδερόπουλος     | 2025 |               29
 Λουδοβίκος   | Κοτσαρής          | 2025 |               28
 Αφέντης      | Λιανάκης          | 2025 |               28
 Γερασιμούλα  | Ναούμ             | 2025 |               28
 Ρόζα         | Ξενίδη            | 2025 |               28
 Χριστίνα     | Τσιούπρα          | 2025 |               28
 Φοίβος       | Φουντζούλας       | 2025 |               28
